Federal Electorate,Location,Main risk,Supports,Description,Longitude,Latitude
"Fremantle","14, Jandakot","Confusing layout",0,"There are 2 lanes to turn right on beeliar drive over freeway heading south on freeway sliproad. one is right turn other is straight and right. Many people wanting to go straight stand in this lane and have to stop because the car in front wants to turn right and red arrow is on. So they pull out into centre lane and cause very dangerous condition where traffic going steaight is moving at 70 kms. this lane should be dedicated straight or dedicated turn or right light should continue with straigh",115.8599764109,-32.1275517048
"Fremantle","1 & Ralston St, Hamilton Hill","Little chance to turn/cross traffic",0,"If trying to exit Ralston Street and cross Stock Road and then turn right and proceed down Stock Road, the cars coming up Stock Road on your right are all accelerating up a hill ... and when trying then to join Stock Road going southwards, the cars and lorries are all exceeding the speed limit. A very dangerous junction.",115.796239078,-32.0826790987
"Fremantle","Tydeman Rd, North Fremantle","Other",1,"Trucks constantly running traffic lights other vehicles have to sit at green lights unable to move forward due to trucks going through full red lights sometimes cars follow. Camera doesnt seem to work as no one is concerned about being fined. Government should have all cameras working everywhere they are posted. They dont care about peoples safety",115.755944252,-32.0362110344
"Fremantle","2, Hammond Park","Other",0,"Pretty much along the whole length of the Kwinana freeway is dangerous for drivers. Northbound is worse than South for some reason. The new roadworks section between Russell/Gibbs Road and Roe is now particularly dangerous as the roadworks are not patrolled at all to keep traffic moving safely. Drivers wander from lane to lane, even in the roadworks section and no one seems to know how to merge in turn from the on ramps and on to the freeway. I have personally seen drivers stop on the freeway .",115.8561515808,-32.175757776
"Fremantle","Berrigan Dr & Elderberry Dr, South Lake","Little chance to turn/cross traffic",0,"There are crashes at this intersection every 2 or 3 days, tow trucks sit on the side of the road and wait for a crash to happen, my friend was T bones at this intersection only last week and the amount of traffic on the road is crazy, no way to get over the other side without risking getting hit in heavy traffic.",115.8487594128,-32.110568597
"Fremantle","49 John St, North Fremantle","Little chance to turn/cross traffic",0,"This is the main turn off in to this area of North Freo as well as to the cricket & football club that has very busy times with lots of people trying to turn right on to John Street from Stirling Highway with many motorists jumping the lights because they sit in the centre of the junction waiting for the south flowing traffic to stop when the lights turn red, that or they take a chance on making across the junction in the path of the traffic.",115.75648069380004,-32.03583586590002
"Fremantle","14 & 2, Success","Little chance to turn/cross traffic",0,"The entire intersections in the Cockburn Central area including the Freeway interchange are entirely inadequate and require a major redesign",115.8590698242,-32.1279423972
"Fremantle","1 & Beeliar Dr, Munster","Area requires lights/roundabout",1,"Difficulty getting to and through this intersection in part, no left hand turning lane, compounded by the Rockingham  rounderbout ",115.7882380486,-32.1273245573
"Fremantle","Phoenix Rd & Sudlow Rd, Bibra Lake","Little chance to turn/cross traffic",0,"It is extremely difficult to make a right  turn onto phoenix road .of Sudlow .there is oncoming traffic ( numerous trucks use this particular interescetion )",115.8073139191,-32.0941004164
"Fremantle","Spearwood Ave, Beeliar","Other",0,"When exiting the roundabout it quickly merges into one lane there is little time or distance to merge safely at 70 KM",115.8115544915,-32.1288827779
"Fremantle","Holland St & Wood St, Fremantle","Other",0,"trucks and vehicles going thru red lights",115.7645058632,-32.0494068906
"Fremantle","1 & Winterfold Rd, Hamilton Hill","Tight curves or blind crests",0,"Turning left (west) into winterfold rd from travelling north on Stock rd is dangerous. There is no turning lane on the left, the small amount of lane is at a poor angle so when you look to the right it is very hard to see oncoming traffic. Lot of cars also fail to reduce to the 60kmh speed limit on Winterfold. On the other side of this intersection near Seton College, 2 lanes quickly reduce into one then a roundabout, This should have 2 lanes continued further beyond Seton. Traffic banks up quik",115.7912582159,-32.0747451468
"Fremantle","Armadale Rd & Warton Rd, Banjup","Little chance to turn/cross traffic",0,"Always too busy and lots of traffic constantly not just peak hours. Requires traffic lights in my opinion",115.8967494965,-32.1361556365
"Fremantle","1 Douro Rd, South Fremantle","Little chance to turn/cross traffic",0,"Dangerous to get out of adjoining streets, cars parked close to intersection visibility poor, lack of courtesy cars queue across road exits",115.7538414001,-32.0740292163
"Fremantle","229-229 South St, White Gum Valley","Unsafe or poor pedestrian crossing",0,"The stretch of road from Hampton Rd to Carrington St has no calming type impediment to vehicle traffic. The road is single lane and busy - buses, cars and frequent emergency vehicles.  As a bus user, it feels hazardous crossing the road, especially around the area noted, where there is also a child care centre.  ",115.7749128342,-32.0633327757
"Fremantle","12 & Powell Rd, Coogee","Little chance to turn/cross traffic",0,"There is a large volume of traffic turning out of Powell road, with heavy and fast moving traffic coming from both sides on Cockburn Rd, there is  also a virtual blind downhill curve on the left as you try to exit Powell Rd, children are also attempting to cross at this point by foot or bicycle.",115.764991343,-32.1115114286
"Fremantle","30 Beckett Cl, Munster","Narrow road, lanes or bridges",0,"too much traffic no enough lanes",115.7868003845,-32.1277970235
"Fremantle","7, Palmyra","Other",0,"High street/Leach highway - the stretch between Stirling highway and Kwinana Freeway.The high volume of heavy vehicles/trucks using this section of road is of hgh concern due to the number of traffic light stops. I frequently see trucks running red lights along this stretch of road, making it extremely dangerous for local residents using this road. Safety on Leach highway has been neglected since the govt. deleted the Roe8/Roe8A scheme. I always have to check no trucks have run red lights.",115.7834208012,-32.0503344395
"Fremantle","415-429 Wattleup Rd, Wattleup","Speed limit too high",2,"Speed limit is 80km per hour. In the recent years, significant development along this road, with 4 new roads (leading to new development estates). The speed limit needs to be reduced to cater for the new developments and to ensure the safety of the increased number of residents that need to access this road. ",115.8392965794,-32.1772289
"Fremantle","Dalison Ave & Phillips Rd, Wattleup","Confusing layout",0,"typical w.a drivers too much rush refuse to allow merging needs policing and heavily use of mobile phone in this area",115.8068847656,-32.1709628364
"Fremantle","448 Russell Rd, Wattleup","Vegetation/objects block visibility",0,"Can�۪t see when looking west . The rail crossing sign is in the way and the weeds are aloud to grow to high . Had many close calls",115.8112701774,-32.1576528321
"Fremantle","1589 Marine Tce, Fremantle","Poor or confusing signage",2,"Here is a speed hump with unclear road marking, similar but slightly different from a pedestrian crossing.  Pedestrians do not read the sign saying that they should give way to cars and presume it is a crosswalk (it has almost got zebra stripes and the paint is white).  This is a hazard for drivers and pedestrians.  These are found throughout Fremantle.",115.746588707,-32.05820913300004
"Fremantle","1-17 Wray Ave, Fremantle","Poor or confusing signage",0,"Here is a speed hump with unclear road marking, similar but slightly different from a pedestrian crossing.  Pedestrians do not read the sign saying that they should give way to cars and presume it is a crosswalk (it has almost got zebra stripes and the paint is white).  This is a hazard for drivers and pedestrians.  These are found throughout Fremantle.",115.7522535324,-32.060027672600036
"Fremantle","13, Kardinya","Confusing layout",0,"Road merges from 3 to 2 lanes. Signage ignored by road users, resulting in cars leaving it to the very last minute to merge. With a traffic light close ahead, merging has to be done on a downward slope while braking for the traffic light. Road marking, ie. white lines on the road should be added to force traffic to merge sooner, further away from the traffic light, allowing for more time and room to merge.",115.8060801029,-32.066617302500035
"Fremantle","142-142 Yangebup Rd, Jandakot","Other",0,"This roundabout gets congested at school times, were traffic jams the roundabout,then blocks the side roads and this interferes with the crosswalk attendant. No body wants to give way, and while this is going on students are crossing roads to catch nudes etc.  ",115.8380252123,-32.1237537239
"Fremantle","1-23 Pearse St, North Fremantle","Speed limit too high",0,"people use this street as a route to avoid the lights and frequently travel too fast for the conditions - residential area, narrow st, ",115.7521677017,-32.0356016691
"Fremantle","Berrigan Dr, South Lake","Area requires lights/roundabout",0,"sign for freeway entry is position back before elderberry to far drivers indicate to turn left. but realise at last moment it is elderberry and not freeway entry confusing drivers trying to turn right into elderberry",115.842590332,-32.1091690989
"Fremantle","Beeliar Dr, Yangebup","Other",0,"Continuous traffic congestion, heading east & west due to dual lanes merging in to single then back to dual ",115.7893270254,-32.1273222858
"Fremantle","Bibra Dr & Progress Dr, Bibra Lake","Confusing layout",0,"Cars dont give way to car coming off round about and and car coming off round about do u turns to get into Prout Way. coming along Bira Drive from FarringRoad to end car cut a cross diaganly from Prout Way to trun down Progress drive,",115.8248662949,-32.1016986877
"Fremantle","14, Bibra Lake","Area requires lights/roundabout",0,"Prople just dont give way to turning traffice",115.824136734,-32.1025257341
"Fremantle","13 & Hampton Rd, Fremantle","Little chance to turn/cross traffic",4,"This intersection needs arris for right turns",115.7568240166,-32.0634646136
"Fremantle","High St & Parry St, Fremantle","Little chance to turn/cross traffic",0,"Heading north on Parry street and wanting to turn right onto Parry street. There is no turning arrow, only a plain green light. There should be a turning arrow here to allow vehicles the opportunity to turn.",115.7514327765,-32.0529056105
"Fremantle","Jones St & Stockdale Rd, O'connor","Confusing layout",0,"",115.7882809639,-32.0602277097
"Fremantle","14 & Elderberry Dr, Yangebup","Little chance to turn/cross traffic",0,"",115.8303675056,-32.1097847898
"Fremantle","Berrigan Dr & Semple Ct, South Lake","Area requires lights/roundabout",0,"Very hard to turn from Semple Ct onto Berrigan Drive when trying to get onto the freeway. The amount of cars in the area means waiting times are very long.",115.8461415768,-32.1107639797
"Fremantle","High St, Fremantle","Other",0,"Unsafe setup, high volume traffic with high volume heavy vehicles (only south access to port), and vehicles turning into suburb (No turning lane, and often failing to give adequate, {if any} indication, [with 50/70/90 tonne trucks burling along behind them]",115.7739257812,-32.0508618651
"Fremantle","25 Bruce St, North Fremantle","Poor or no provision for cyclists",0,"",115.7579183578,-32.0383301388
"Fremantle","12, North Fremantle","Tight curves or blind crests",0,"If travelling South along Stirling highway, you can bear right to make a turn onto Queen Victoria Street but there is traffic lights. The traffic banks up here, meaning vehicles are then backing up onto one of the Stirling highway lanes. Vehicles are then approaching this at 60km/h which is risky and could cause severe accidents if they do not change lanes in time ",115.7532888651,-32.0341191665
"Fremantle","Armadale Rd & Liddelow Rd, Banjup","Confusing layout",0,"During the current road works, if you are travelling on Liddlow road there is no option to turn right onto Armadale nor to turn right from Armadale onto Liddlow. There are rubbing witches poles marking no right turn however I have seen 2 vehicles drive over the rubber poles and make an illegal right hand turn from Armadale onto Liddlow. This is incredibly dangerous for people travelling west onto ",115.887029171,-32.1339116058
"Fremantle","Armadale Rd, Banjup","Vehicles travel over the speed limit",0,"During the roadworks the designated speed limit is 60KM/ph. The local Cockburn police complete routine drives and have pulled over many vehicles from travelling over. This road is very well signed however 90% of the vehicles travel over the speed limit.",115.892136097,-32.1340751403
"Fremantle","Jandakot Rd, Banjup","Little chance to turn/cross traffic",0,"",115.9035944939,-32.1251620845
"Fremantle","Jandakot Rd, Jandakot","Little chance to turn/cross traffic",0,"No way to enter business located at this point due to new layout. Illegal u turns required to access propertys",115.8603572845,-32.1075878219
